"idLeitura";"fkMaquina";"sistemaOperacional";"cpuMedia";"qtdProcessador";"ramTotal";"ramUso";"ramUsoPercent";"discoTotal";"discoUso";"discoLivre";"discoPercent";"dataHora"
1;50000;"NFTS";23;8;8.37;7.39;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:19"
2;50000;"NFTS";16;8;8.37;7.4;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:19"
3;50000;"NFTS";27;8;8.37;7.41;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:19"
4;50000;"NFTS";16;8;8.37;7.4;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:19"
5;50000;"NFTS";6;8;8.37;7.4;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:20"
6;50000;"NFTS";9;8;8.37;7.4;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:20"
7;50000;"NFTS";12;8;8.37;7.39;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:20"
8;50000;"NFTS";5;8;8.37;7.39;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:20"
9;50000;"NFTS";9;8;8.37;7.39;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:20"
10;50000;"NFTS";4;8;8.37;7.39;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:20"
11;50000;"NFTS";7;8;8.37;7.39;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:20"
12;50000;"NFTS";5;8;8.37;7.39;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:21"
13;50000;"NFTS";9;8;8.37;7.39;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:21"
14;50000;"NFTS";14;8;8.37;7.39;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:21"
15;50000;"NFTS";26;8;8.37;7.4;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:21"
16;50000;"NFTS";14;8;8.37;7.4;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:21"
17;50000;"NFTS";19;8;8.37;7.4;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:21"
18;50000;"NFTS";26;8;8.37;7.4;88;488.1;167.02;321.08;34.2;"2022-10-15 11:05:21"
19;50000;"NFTS";33;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:21"
20;50000;"NFTS";18;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:22"
21;50000;"NFTS";13;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:22"
22;50000;"NFTS";12;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:22"
23;50000;"NFTS";10;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:22"
24;50000;"NFTS";1;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:22"
25;50000;"NFTS";7;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:22"
26;50000;"NFTS";15;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:23"
27;50000;"NFTS";11;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:23"
28;50000;"NFTS";8;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:23"
29;50000;"NFTS";10;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:23"
30;50000;"NFTS";5;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:23"
31;50000;"NFTS";39;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:23"
32;50000;"NFTS";16;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:23"
33;50000;"NFTS";11;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:24"
34;50000;"NFTS";7;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:24"
35;50000;"NFTS";7;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:24"
36;50000;"NFTS";6;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:24"
37;50000;"NFTS";4;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:24"
38;50000;"NFTS";7;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:24"
39;50000;"NFTS";8;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:24"
40;50000;"NFTS";12;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:24"
41;50000;"NFTS";8;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:25"
42;50000;"NFTS";25;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:25"
43;50000;"NFTS";24;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:25"
44;50000;"NFTS";33;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:25"
45;50000;"NFTS";19;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:25"
46;50000;"NFTS";18;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:25"
47;50000;"NFTS";30;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:25"
48;50000;"NFTS";15;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:26"
49;50000;"NFTS";4;8;8.37;7.44;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:26"
50;50000;"NFTS";13;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:26"
51;50000;"NFTS";8;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:26"
52;50000;"NFTS";13;8;8.37;7.45;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:26"
53;50000;"NFTS";61;8;8.37;7.47;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:26"
54;50000;"NFTS";19;8;8.37;7.47;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:26"
55;50000;"NFTS";55;8;8.37;7.49;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:27"
56;50000;"NFTS";55;8;8.37;7.49;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:27"
57;50000;"NFTS";38;8;8.37;7.49;90;488.1;167.02;321.08;34.2;"2022-10-15 11:05:27"
58;50000;"NFTS";49;8;8.37;7.49;90;488.1;167.02;321.08;34.2;"2022-10-15 11:05:27"
59;50000;"NFTS";45;8;8.37;7.5;90;488.1;167.02;321.08;34.2;"2022-10-15 11:05:27"
60;50000;"NFTS";45;8;8.37;7.5;90;488.1;167.02;321.08;34.2;"2022-10-15 11:05:27"
61;50000;"NFTS";43;8;8.37;7.49;90;488.1;167.02;321.08;34.2;"2022-10-15 11:05:27"
62;50000;"NFTS";40;8;8.37;7.49;90;488.1;167.02;321.08;34.2;"2022-10-15 11:05:27"
63;50000;"NFTS";38;8;8.37;7.49;90;488.1;167.02;321.08;34.2;"2022-10-15 11:05:28"
64;50000;"NFTS";33;8;8.37;7.48;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:28"
65;50000;"NFTS";28;8;8.37;7.48;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:28"
66;50000;"NFTS";52;8;8.37;7.49;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:28"
67;50000;"NFTS";36;8;8.37;7.49;89;488.1;167.02;321.08;34.2;"2022-10-15 11:05:28"
68;50000;"NFTS";50;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:28"
69;50000;"NFTS";33;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:28"
70;50000;"NFTS";48;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:29"
71;50000;"NFTS";39;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:29"
72;50000;"NFTS";34;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:29"
73;50000;"NFTS";30;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:29"
74;50000;"NFTS";22;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:29"
75;50000;"NFTS";6;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:29"
76;50000;"NFTS";28;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:29"
77;50000;"NFTS";13;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:29"
78;50000;"NFTS";61;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:30"
79;50000;"NFTS";21;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:30"
80;50000;"NFTS";7;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:30"
81;50000;"NFTS";27;8;8.37;7.49;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:30"
82;50000;"NFTS";15;8;8.37;7.49;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:30"
83;50000;"NFTS";23;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:30"
84;50000;"NFTS";12;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:30"
85;50000;"NFTS";26;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:31"
86;50000;"NFTS";19;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:31"
87;50000;"NFTS";36;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:31"
88;50000;"NFTS";8;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:31"
89;50000;"NFTS";29;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:31"
90;50000;"NFTS";38;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:31"
91;50000;"NFTS";41;8;8.37;7.48;89;488.1;167.02;321.07;34.2;"2022-10-15 11:05:31"
92;50000;"NFTS";10;8;8.37;7.48;89;488.1;167.02;321.07;34.2;"2022-10-15 11:05:31"
93;50000;"NFTS";19;8;8.37;7.48;89;488.1;167.02;321.07;34.2;"2022-10-15 11:05:32"
94;50000;"NFTS";20;8;8.37;7.49;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:32"
95;50000;"NFTS";42;8;8.37;7.49;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:32"
96;50000;"NFTS";50;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:32"
97;50000;"NFTS";8;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:32"
98;50000;"NFTS";26;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:32"
99;50000;"NFTS";5;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:32"
100;50000;"NFTS";55;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:33"
101;50000;"NFTS";14;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:33"
102;50000;"NFTS";20;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:33"
103;50000;"NFTS";13;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:33"
104;50000;"NFTS";4;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:33"
105;50000;"NFTS";19;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:33"
106;50000;"NFTS";6;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:33"
107;50000;"NFTS";20;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:34"
108;50000;"NFTS";3;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:34"
109;50000;"NFTS";22;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:34"
110;50000;"NFTS";23;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:34"
111;50000;"NFTS";31;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:34"
112;50000;"NFTS";47;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:34"
113;50000;"NFTS";46;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:34"
114;50000;"NFTS";35;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:34"
115;50000;"NFTS";30;8;8.37;7.5;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:35"
116;50000;"NFTS";42;8;8.37;7.51;90;488.1;167.02;321.07;34.2;"2022-10-15 11:05:35"
