"idLeitura";"fkMaquina";"sistemaOperacional";"cpuMedia";"qtdProcessador";"ramTotal";"ramUso";"ramUsoPercent";"discoTotal";"discoUso";"discoLivre";"discoPercent";"dataHora"
56;50000;"NFTS";20;8;8.37;7.07;85;488.1;168.48;319.61;34.5;"2022-10-18 06:07:03"
57;50000;"NFTS";5;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:06"
58;50000;"NFTS";2;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:09"
59;50000;"NFTS";3;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:12"
60;50000;"NFTS";4;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:15"
61;50000;"NFTS";3;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:18"
62;50000;"NFTS";6;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:21"
63;50000;"NFTS";2;8;8.37;7.07;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:24"
64;50000;"NFTS";3;8;8.37;7.05;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:27"
65;50000;"NFTS";3;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:30"
66;50000;"NFTS";3;8;8.37;7.07;85;488.1;168.48;319.61;34.5;"2022-10-18 06:07:33"
67;50000;"NFTS";5;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:36"
68;50000;"NFTS";2;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:39"
69;50000;"NFTS";6;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:43"
70;50000;"NFTS";4;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:46"
71;50000;"NFTS";4;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:49"
72;50000;"NFTS";5;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:52"
73;50000;"NFTS";4;8;8.37;7.06;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:55"
74;50000;"NFTS";6;8;8.37;7.05;84;488.1;168.48;319.61;34.5;"2022-10-18 06:07:58"
75;50000;"NFTS";2;8;8.37;7.05;84;488.1;168.48;319.61;34.5;"2022-10-18 06:08:01"
76;50000;"NFTS";4;8;8.37;7.05;84;488.1;168.48;319.61;34.5;"2022-10-18 06:08:04"
77;50000;"NFTS";2;8;8.37;7.05;84;488.1;168.48;319.61;34.5;"2022-10-18 06:08:07"
78;50000;"NFTS";6;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:10"
79;50000;"NFTS";2;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:13"
80;50000;"NFTS";7;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:16"
81;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:19"
82;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:22"
83;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:25"
84;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:28"
85;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:31"
86;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:34"
87;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:37"
88;50000;"NFTS";6;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:40"
89;50000;"NFTS";3;8;8.37;7.09;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:43"
90;50000;"NFTS";2;8;8.37;7.09;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:47"
91;50000;"NFTS";5;8;8.37;7.09;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:50"
92;50000;"NFTS";5;8;8.37;7.09;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:53"
93;50000;"NFTS";3;8;8.37;7.09;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:56"
94;50000;"NFTS";3;8;8.37;7.09;85;488.1;168.48;319.61;34.5;"2022-10-18 06:08:59"
95;50000;"NFTS";5;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:09:02"
96;50000;"NFTS";4;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:09:05"
97;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:09:08"
98;50000;"NFTS";2;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:09:11"
99;50000;"NFTS";3;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:09:14"
100;50000;"NFTS";2;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:09:17"
101;50000;"NFTS";4;8;8.37;7.08;85;488.1;168.48;319.61;34.5;"2022-10-18 06:09:20"
102;50000;"NFTS";3;8;8.37;7.07;85;488.1;168.48;319.61;34.5;"2022-10-18 06:09:23"
103;50000;"NFTS";6;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:09:26"
104;50000;"NFTS";3;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:09:29"
105;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:09:32"
106;50000;"NFTS";6;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:09:35"
107;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:09:38"
108;50000;"NFTS";4;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:09:41"
109;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:09:44"
110;50000;"NFTS";3;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:09:48"
111;50000;"NFTS";4;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:09:51"
112;50000;"NFTS";3;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:09:54"
113;50000;"NFTS";3;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:09:57"
114;50000;"NFTS";5;8;8.37;7.02;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:00"
115;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:03"
116;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:06"
117;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:09"
118;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:12"
119;50000;"NFTS";4;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:15"
120;50000;"NFTS";2;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:18"
121;50000;"NFTS";4;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:21"
122;50000;"NFTS";11;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:24"
123;50000;"NFTS";2;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:27"
124;50000;"NFTS";4;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:30"
125;50000;"NFTS";4;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:33"
126;50000;"NFTS";8;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:36"
127;50000;"NFTS";3;8;8.37;7.02;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:39"
128;50000;"NFTS";3;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:42"
129;50000;"NFTS";8;8;8.37;7.02;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:45"
130;50000;"NFTS";4;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:49"
131;50000;"NFTS";4;8;8.37;7.02;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:52"
132;50000;"NFTS";2;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:55"
133;50000;"NFTS";4;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:10:58"
134;50000;"NFTS";3;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:01"
135;50000;"NFTS";4;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:04"
136;50000;"NFTS";3;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:07"
137;50000;"NFTS";3;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:10"
138;50000;"NFTS";2;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:13"
139;50000;"NFTS";3;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:16"
140;50000;"NFTS";7;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:19"
141;50000;"NFTS";3;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:22"
142;50000;"NFTS";4;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:25"
143;50000;"NFTS";4;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:28"
144;50000;"NFTS";4;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:31"
145;50000;"NFTS";8;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:34"
146;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:37"
147;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:40"
148;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:43"
149;50000;"NFTS";4;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:46"
150;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:49"
151;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:53"
152;50000;"NFTS";4;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:56"
153;50000;"NFTS";3;8;8.37;7.0;84;488.1;168.48;319.61;34.5;"2022-10-18 06:11:59"
154;50000;"NFTS";6;8;8.37;7.01;84;488.1;168.48;319.61;34.5;"2022-10-18 06:12:02"
155;50000;"NFTS";9;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:05"
